id,Brand_name,Model_name,Year,Total_Price,Zero_Down_Payment,Owner,Oil,KM_on_Road,Transmission
226, Maruti , Maruti Swift,2018,654299,14555,1st Owner,Petrol,49406,ZXI+ Manual
227, Toyota , Toyota Innova,2012,736099,16374,2nd Owner,Diesel,170530,2.5 GX 8 STR BS IV Manual
228, Skoda , Skoda Rapid,2014,416099,9256,2nd Owner,Petrol,54004,AMBITION 1.6 MPI MT PLUS Manual
229, KIA , KIA SELTOS,2019,1824699,40589,1st Owner,Diesel,19876,1.5 GTX+ AT Automatic
230, Honda , Honda City,2015,541399,12043,2nd Owner,Petrol,57365,V MT PETROL Manual
231, Jeep , Jeep Compass,2017,1229699,27354,1st Owner,Diesel,52627,2.0 SPORT Manual
232, Ford , Ford Ecosport,2014,616099,13705,1st Owner,Diesel,67225,1.5 TITANIUMTDCI OPT Manual
233, Maruti , Maruti Celerio,2015,403899,8985,1st Owner,Petrol,44439,VXI AMT Automatic
234, Maruti , Maruti S PRESSO,2020,480599,10691,1st Owner,Petrol,37837,VXI PLUS Manual
235, Honda , Honda Jazz,2017,536799,11941,1st Owner,Petrol,27159,1.2 S MT Manual
236, Hyundai , Hyundai Elite i,2016,548699,12206,1st Owner,Petrol,33200,MAGNA 1.2 Manual
237, Toyota , Toyota Corolla Altis,2016,925099,20578,1st Owner,Petrol,91007,VL AT Automatic
238, Mahindra , Mahindra XUV,2020,1707999,37993,1st Owner,Diesel,36317,W9 Manual
239, Maruti , Maruti Baleno,2016,578099,12859,1st Owner,Petrol,27730,DELTA 1.2 K12 Manual
240, Toyota , Toyota Corolla Altis,2015,916899,20396,1st Owner,Petrol,60049,VL AT Automatic
241, Maruti , Maruti Wagon R ,2016,430099,9567,1st Owner,Petrol,9459,VXI AMT Automatic
242, Maruti , Maruti Swift,2017,598099,13304,1st Owner,Petrol,6620,VXI OPT Manual
243, Hyundai , Hyundai Elite i,2016,567899,12633,1st Owner,Petrol,59022,SPORTZ 1.2 Manual
244, Toyota , Toyota Glanza,2020,759099,16886,1st Owner,Petrol,291,G MT PETROL Manual
245, Maruti , Maruti Baleno,2019,799599,17787,1st Owner,Petrol,7561,Zeta 1.2 K12 SHVS 
246, Honda , Honda Jazz,2016,530599,11803,1st Owner,Petrol,76497,1.2 V MT Manual
247, Honda , Honda Brio,2014,416399,9263,1st Owner,Petrol,75652,1.2 VX AT I VTEC Automatic
248, Maruti , Maruti Wagon R ,2016,443899,9874,1st Owner,Petrol,10258,VXI AMT Automatic
249, Toyota , Toyota Innova,2015,921999,20509,1st Owner,Diesel,128958,2.5 GX 8 STR BS IV Manual
250, Maruti , Maruti Vitara Brezza,2016,734599,16341,1st Owner,Diesel,22495,VDI OPT Manual
251, Hyundai , Hyundai Creta,2020,1780399,39604,1st Owner,Diesel,38423,SX (O) DIESEL AT Automatic
252, Maruti , Maruti Baleno,2016,561449,12489,2nd Owner,Petrol,32994,ZETA 1.2 K12 Manual
253, Hyundai , Hyundai Elite i,2016,540199,12016,1st Owner,Petrol,19504,MAGNA 1.2 Manual
254, Maruti , Maruti Alto K,2014,323299,7192,1st Owner,Petrol + CNG,25886,LXI CNG Manual
255, Honda , Honda Amaze,2019,657199,14619,1st Owner,Petrol,4603,1.2 SMT I VTEC Manual
256, Honda , Honda Jazz,2016,530299,11796,1st Owner,Petrol,87935,1.2 V AT Automatic
257, Maruti , Maruti Alto ,2018,345288,7681,1st Owner,Petrol,10596,LXI Manual
258, Volkswagen , Volkswagen Ameo,2018,657499,14626,1st Owner,Diesel,82907,HIGHLINE PLUS 1.5 Manual
259, Maruti , Maruti Ciaz,2016,723699,16098,1st Owner,Diesel,74509,ZDI SHVS Manual
260, Maruti , Maruti Baleno,2019,762099,16952,1st Owner,Petrol,21407,ZETA 1.2 K12 Manual
261, Hyundai , Hyundai Creta,2016,988499,21989,1st Owner,Diesel,79111,1.6 SX PLUS DIESEL Manual
262, Maruti , Maruti Baleno,2019,736099,16374,2nd Owner,Petrol,23801,ZETA 1.2 K12 Manual
263, Hyundai , Hyundai VENUE,2019,964299,21450,1st Owner,Petrol,20903,1.0L Turbo GDI SX MT Manual
264, Honda , Honda WR-V,2018,725599,16141,1st Owner,Petrol,29828,1.2 i-VTEC VX MT Manual
265, Hyundai , Hyundai Elite i,2019,740899,16481,1st Owner,Petrol,7742,1.2 SPORTS PLUS VTVT Manual
